userName,score,at,content
Pengguna Google,5,2025-04-21 18:17:04,lebih mudah dan amanah
Pengguna Google,2,2025-04-21 18:14:58,"chat kepenjual banyak yang tidak bisa ditampilkan/tidak terkirim,mengganggu proses request produk yang ingin custom/pre order"
Pengguna Google,2,2025-04-21 18:12:04,opsional
Pengguna Google,5,2025-04-21 18:11:17,banyak
Pengguna Google,5,2025-04-21 18:06:54,Bagus
Pengguna Google,5,2025-04-21 18:05:37,Shopee dgn tambahan fitur semakin asyik untuk dikunjungi
Pengguna Google,4,2025-04-21 18:00:59,mohon di tingkatkan lagi jaringan shopee nya karena di tempat saya kalau lagi cekot kadang suka ngeleg jaringan nya apalagi kalau cekot nya di laive
Pengguna Google,5,2025-04-21 17:52:17,blaja di shopee amana
Pengguna Google,2,2025-04-21 17:50:52,Makin jelek event di shopee tanam
Pengguna Google,5,2025-04-21 17:50:14,mantap
Pengguna Google,5,2025-04-21 17:44:24,mudah belanja di shoppe lebih rapih maximal .
Pengguna Google,5,2025-04-21 17:41:40,mantap...
Pengguna Google,5,2025-04-21 17:39:14,Sangat Baik & sanga.....t bermanfaat
Pengguna Google,5,2025-04-21 17:37:38,👍🏻
Pengguna Google,5,2025-04-21 17:37:05,mantap
Pengguna Google,5,2025-04-21 17:34:27,jaga kepercayaan konsumen pada Shopie yg sdh sangat di percaya
Pengguna Google,1,2025-04-21 17:33:30,Tidak bisa verifikasi !
Pengguna Google,5,2025-04-21 17:32:21,aman
Pengguna Google,5,2025-04-21 17:26:06,keren
Pengguna Google,2,2025-04-21 17:24:29,"kok gabisa login akun sih padahal udah kirim notif ke wa udah ini itu, ribet banget si padahal gw cuman mau belanja aneh"
Pengguna Google,4,2025-04-21 17:21:57,bagus
Pengguna Google,5,2025-04-21 17:21:45,sangat puas
Pengguna Google,5,2025-04-21 17:21:16,Okee Mantappp. banyak promo apalagi dengan adanya Spaylater dan Spinjam sangat membantu. thx
Pengguna Google,4,2025-04-21 17:18:38,🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼🧑‍💼
Pengguna Google,5,2025-04-21 17:16:47,No 1 dalam aku berbelanja
Pengguna Google,5,2025-04-21 17:16:40,terimakasih shopee karena kamu aku jadi gak usah pergi ke tempat nya jadi love you shopee bintang 5 buat kamu ❤️❤️❤️
Pengguna Google,5,2025-04-21 17:15:54,Selalu memberikan yang terbaik
Pengguna Google,5,2025-04-21 17:14:08,bermanfaat
Pengguna Google,1,2025-04-21 17:13:00,"pesan shopeefood yang datang salah. langsung buat laporan malam itu juga, di balas besok pagi nya. disuruh foto makanan nya dengan keadaan utuh. hey! saya pesan makanan itu karena lapar. nungguin kalian bales, mubazir itu makanan. tapi sekali udah seperti ini, balas cepat ga sampe setengah jam. karena apa? karena tau saya ga bakal bisa kirim bukti foto makanan nya, kan sudah habis. Jadi ga perlu tanggung jawab ya kan?. pokoknya rugi, kecewa banget. ternyata pelayanan nya seperti ini."
Pengguna Google,5,2025-04-21 17:11:14,good apk
Pengguna Google,5,2025-04-21 17:10:00,Shopee sannat boleh dipercaya
Pengguna Google,5,2025-04-21 17:09:19,sangat memuaskan di tingkatkn lagi untuk jasa pengiriman ya
Pengguna Google,1,2025-04-21 17:00:10,"aplikasi bngsat, disuruh jualan, admin ga ngotak, kebijakan cenderung rugiin seller, buat peraturan SE enak nya yang banyak rugiin seller, point pinalty SE enak buat keputusannya sampe ngehancurin performa toko. aplikasi ini bngst banget. nguji kesabaran."
Pengguna Google,1,2025-04-21 16:58:57,"pengiriman sekarang lambat sekali, lebih dari 1 minggu, tidak seperti dulu"
Pengguna Google,5,2025-04-21 16:56:31,baguS
Pengguna Google,5,2025-04-21 16:55:12,ok
Pengguna Google,5,2025-04-21 16:54:47,"diantara yang lain , hanya Shopee yg sangat mempermudah segala nyaaaaa . . 👍🥳"
Pengguna Google,5,2025-04-21 16:53:43,bagus
Pengguna Google,5,2025-04-21 16:51:22,"sangat membantu,bikin mudah kita berbelanja"
Pengguna Google,1,2025-04-21 16:51:03,ngebug gak ada gambarnya
Pengguna Google,5,2025-04-21 16:50:04,applikasi nya sangat baguss saya suka
Pengguna Google,5,2025-04-21 16:49:01,bgus
Pengguna Google,1,2025-04-21 16:46:05,"sebenarnya udah bagus,tp tolong lah gw kalo mau bukak crome apalagi wabsite pasti iklannya SHOPEE,kepencet sedikit langsung kebukak SHOPEE woh jangan sering keluar saat gw lg buka wabsite lah"
Pengguna Google,1,2025-04-21 16:46:03,pengiriman s express lebih lama dibanding yang lain
Pengguna Google,5,2025-04-21 16:44:24,sangat membatu dalam berbelanja
Pengguna Google,5,2025-04-21 16:40:21,"sangat baikk ramah , mohon di per cepat kirimannya"
Pengguna Google,5,2025-04-21 16:39:37,bagus banget aplikasi ini
Pengguna Google,1,2025-04-21 16:38:28,berat untuk buka saat masuk shoope
Pengguna Google,5,2025-04-21 16:36:08,memang mantap
Pengguna Google,4,2025-04-21 16:35:23,membantumu.🤞🏼
Pengguna Google,5,2025-04-21 16:32:53,"saya sering belanja di aplikasi ini, aplikasi ini sangat berguna sekali bg sy"
Pengguna Google,5,2025-04-21 16:32:05,cukup memuaskan
Pengguna Google,2,2025-04-21 16:27:44,"aplikasi rusak, sering banget bermasalah sama checkout, padahal saldo ada, kocak"
Pengguna Google,1,2025-04-21 16:27:34,bunga nya mencapai 40% di shopee pinjam saya dengan tenor 12bulan ngeri😭
Pengguna Google,5,2025-04-21 16:25:33,mantap sesuai pesanan
Pengguna Google,5,2025-04-21 16:25:16,Mantap memuaskam
Pengguna Google,3,2025-04-21 16:25:11,Ongkirnya terlalu mahal sekali
Pengguna Google,5,2025-04-21 16:24:41,ok
Pengguna Google,5,2025-04-21 16:22:57,sangat puas dengan coin shopee
Pengguna Google,4,2025-04-21 16:22:00,sangat membatu
